date,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E.1,Type 2 Departments - Single Specialty.1,Type 3 Departments - Other A&E/Minor Injury Unit.1,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3)
2013-03-01,1106665.7142857139,53888.28571428573,583535.1428571428,1744089.142857143,119530.7142857143,330.7142857142856,1133.5714285714282,120995.00000000003,0.935126251293603,0.9025191139848835,0.9939003986478119,0.9980611731038896
2013-04-01,1080364.0,53977.28571428575,576957.4285714283,1711298.7142857139,118725.14285714277,328.71428571428567,1067.857142857143,120121.71428571429,0.9344106288148083,0.9009872255416731,0.9939469987530976,0.9981525771116785
2013-05-01,1166192.8571428568,54434.14285714285,606220.0000000002,1826847.0000000012,63554.571428571406,294.42857142857144,974.2857142857141,64823.28571428571,0.9657322493228206,0.9483190044134499,0.9946202036021926,0.9983954300341619
2013-06-01,1136079.142857143,54396.57142857142,584220.5714285714,1774696.285714285,55273.2857142857,192.85714285714286,873.8571428571428,56339.99999999998,0.9692305387721895,0.9536045888784019,0.9964671338773075,0.9985064681866981
2013-07-01,1217422.4285714286,55252.7142857143,638025.0,1910700.1428571427,64277.42857142857,283.28571428571445,1028.0000000000002,65588.71428571429,0.9668121823140081,0.9498498589874897,0.9948990616125447,0.9983913697298972
2013-08-01,1122312.2857142861,53055.571428571435,596827.142857143,1772194.9999999998,67359.14285714288,183.57142857142864,853.4285714285716,68396.14285714286,0.9628401217062407,0.9433800449103594,0.9965519462049942,0.9985720991910634
2013-09-01,1082967.2857142854,52174.00000000003,559063.7142857144,1694205.0,73601.85714285713,137.57142857142856,804.2857142857142,74543.7142857143,0.9578551132313796,0.9363619048654246,0.9973701530117619,0.9985634368917571
2013-10-01,1121110.2857142857,52579.57142857141,576489.4285714286,1750179.2857142847,78148.2857142857,125.71428571428574,976.0000000000001,79249.99999999997,0.9566804791970642,0.9348361666315259,0.9976147689171864,0.9983098555312402
2013-11-01,1069366.8571428566,50503.571428571435,542384.9999999998,1662255.428571429,69745.28571428571,127.00000000000004,908.8571428571428,70781.14285714284,0.959157732719514,0.9387722392815958,0.9974916340776606,0.9983271352493533
2013-12-01,1088947.0,47722.57142857141,561310.2857142859,1697979.857142857,83064.14285714283,86.00000000000001,899.1428571428568,84049.28571428568,0.9528350666703863,0.929126831802428,0.9982011593856451,0.9984006976556271
2014-01-01,1059249.285714286,50884.42857142857,545409.4285714286,1655543.142857143,83034.2857142857,175.14285714285717,786.2857142857141,83995.71428571429,0.9517138039539543,0.9273085179624524,0.9965698329961922,0.9985604322887923
2014-02-01,996819.7142857143,47539.285714285725,528354.1428571428,1572713.142857142,87923.99999999999,165.42857142857142,1011.8571428571431,89101.28571428571,0.9463831314842529,0.9189449094361459,0.9965322385029333,0.998088549051399
2014-03-01,1185253.4285714286,55587.571428571435,630671.142857143,1871512.1428571444,84182.71428571425,210.5714285714287,1435.428571428571,85828.71428571429,0.9561503485851723,0.9336849555139948,0.9962261928840438,0.997729135186517
2014-04-01,1125630.0000000002,51902.71428571427,611186.0,1788718.7142857139,87435.85714285712,130.99999999999991,1390.2857142857144,88957.14285714283,0.9526238021761096,0.9279215908781775,0.9974824015198936,0.9977304284434312
2014-05-01,1186776.1428571427,54221.14285714286,634841.428571429,1875838.7142857139,100556.99999999996,224.5714285714286,1408.142857142857,102189.71428571426,0.9483375906990792,0.9218873525023826,0.995875314861461,0.997786807378147
2014-06-01,1174433.142857143,54697.8571428571,620273.2857142857,1849404.2857142847,90778.00000000003,299.28571428571433,1786.4285714285704,92863.71428571428,0.9521880017146376,0.9282507109485283,0.9945581588653956,0.9971282040447197
2014-07-01,1208069.8571428568,55480.71428571431,633808.2857142856,1897358.8571428566,94518.57142857139,311.8571428571429,1441.5714285714275,96272.0,0.95171021773912,0.927437884940962,0.994410418181632,0.9977307016879072
2014-08-01,1100823.285714286,52822.28571428572,574784.7142857144,1728430.2857142852,87323.42857142857,228.99999999999991,1327.2857142857147,88879.71428571426,0.95109270609543,0.9265045069590372,0.995683422241012,0.997696132498046
2014-09-01,1123718.7142857146,51918.14285714287,577799.142857143,1753436.0000000002,98062.85714285709,277.142857142857,1509.714285714286,99849.71428571433,0.946122870577353,0.9197378161235508,0.9946902703309275,0.9973939388857954
2014-10-01,1132970.2857142864,54247.14285714285,586178.4285714288,1773395.8571428573,117143.85714285709,181.14285714285708,1653.1428571428569,118978.1428571429,0.9371275747515327,0.906293471030474,0.9966718985401498,0.9971877269995463
2014-11-01,1087855.0,52038.71428571428,570835.4285714285,1710729.1428571437,117664.28571428564,290.7142857142856,1776.1428571428573,119731.14285714291,0.9345895981510349,0.9023953518548913,0.9944445354430449,0.9968981715603272
2014-12-01,1052856.8571428563,47492.285714285725,608722.8571428574,1709071.9999999993,189037.85714285716,167.2857142857142,2949.857142857144,192155.00000000006,0.8989310587320714,0.8477827025364353,0.9964899870210451,0.9951773929522068
2015-01-01,972839.4285714279,50737.571428571435,555333.5714285714,1578910.571428571,151201.00000000003,162.85714285714286,1792.5714285714298,153156.42857142855,0.9115759213867428,0.8654843756890798,0.9968004759993601,0.9967824675765914
2015-02-01,941203.1428571424,47961.14285714286,532814.2857142854,1521978.571428571,131248.42857142855,195.71428571428572,1423.7142857142858,132867.85714285716,0.9197098565468957,0.8776183166978835,0.9959358999460097,0.9973350561253331
2015-03-01,1112665.7142857139,56021.28571428574,633086.0,1801773.0000000005,138659.1428571429,361.71428571428555,2173.1428571428573,141194.0000000001,0.9273307266669994,0.8891901315108991,0.993584692447825,0.9965791238401246
2015-04-01,1083542.4285714286,51843.71428571426,611982.2857142856,1747368.428571429,123088.85714285719,521.9999999999999,2188.428571428572,125799.28571428564,0.9328414189744585,0.8979896687578487,0.9900316455696202,0.9964367747915598
2015-05-01,1146859.4285714286,54317.999999999985,626007.0000000006,1827184.4285714286,107585.714285714,491.4285714285715,2207.285714285715,110284.428571429,0.943078089660722,0.9142364136859145,0.9910338679997707,0.9964864127345082
2015-06-01,1152550.0,53159.00000000001,606176.0000000001,1811885.0,96663.0,238.99999999999997,2422.0,99323.9999999999,0.9480308014455772,0.9226208821073748,0.9955241769354658,0.996020361552289
2015-07-01,1176360.0,52959.0,626101.0,1855420.0,95163.0,458.0,1854.0,97475.0,0.9500869222359625,0.9251582551003796,0.9914259505400902,0.9970475591403842
2015-08-01,1111430.0,49222.0,598012.0,1758664.0,104396.0,236.0,1843.0,106475.0,0.9429131019189454,0.9141357398180332,0.9952282744955315,0.9969275908344517
2015-09-01,1101364.0,50432.0,585072.0,1736868.0,120230.0,436.0,2445.0,123111.0,0.93381054302226,0.9015794118176743,0.991428796099709,0.995838418292577
2015-10-01,1117242.0,49746.0,608566.0,1775554.0,144153.0,529.0,2872.0,147554.0,0.9232731599057359,0.885719382112661,0.9894778717056191,0.9953028761706011
2015-11-01,1075801.0,47831.0,587131.0,1710763.0,160493.0,475.0,2504.0,163472.0,0.9127793473070346,0.8701821734959484,0.990166852978926,0.995753305010727
2015-12-01,1067228.0,45807.0,586013.0,1699048.0,165737.0,341.0,2526.0,168604.0,0.9097240813599108,0.8655785038504743,0.9926107306925543,0.9957080159513643
2016-01-01,1037870.0,46773.42857143,605991.0,1690634.42857143,212135.0,435.0,3716.0,216286.0,0.8865783822128169,0.8302926788292847,0.9907855437437022,0.9939052692522802
2016-02-01,994262.0,47731.0,599702.0,1641695.0,224110.0,656.0,4315.0,229081.0,0.8775476059132681,0.8160578214207155,0.9864426395519458,0.9928561613332075
2016-03-01,1091694.0,49356.0,680669.0,1821719.0,258679.0,550.0,6605.0,265834.0,0.872657604381781,0.8084388535612013,0.988979281048371,0.9903895680616465
2016-04-01,1031657.0,49670.0,600332.0,1681659.0,182400.0,689.0,3033.0,186122.0,0.9003512724457525,0.8497599371363947,0.9863182350721817,0.9949731920147837
2016-05-01,1156105.0,51584.0,661322.0,1869011.0,197101.0,596.0,3632.0,201329.0,0.9027555860390081,0.854345162525144,0.9885779992334228,0.9945379680398945
